"plan_sponsor_clean","plan_type_clean","valuation_year","grade_letter"
"TAVARES","F",2011,"C"
"TAVARES","F",2012,"C"
"TAVARES","F",2013,"B"
"TAVARES","F",2014,"B"
"TAVARES","F",2015,"B"
"TAVARES","F",2016,"B"
"TAVARES","P",2005,"A"
"TAVARES","P",2006,"C"
"TAVARES","P",2007,"B"
"TAVARES","P",2009,"C"
"TAVARES","P",2011,"C"
"TAVARES","P",2012,"B"
"TAVARES","P",2013,"B"
"TAVARES","P",2014,"B"
"TAVARES","P",2015,"B"
"TAVARES","P",2016,"B"
"TEMPLE TERRACE","F",2005,"B"
"TEMPLE TERRACE","F",2007,"C"
"TEMPLE TERRACE","F",2008,"D"
"TEMPLE TERRACE","F",2010,"D"
"TEMPLE TERRACE","F",2011,"F"
"TEMPLE TERRACE","F",2012,"D"
"TEMPLE TERRACE","F",2013,"D"
"TEMPLE TERRACE","F",2014,"C"
"TEMPLE TERRACE","F",2015,"C"
"TEMPLE TERRACE","F",2016,"C"
"TEMPLE TERRACE","P",2005,"D"
"TEMPLE TERRACE","P",2006,"D"
"TEMPLE TERRACE","P",2007,"D"
"TEMPLE TERRACE","P",2008,"F"
"TEMPLE TERRACE","P",2009,"F"
"TEMPLE TERRACE","P",2010,"F"
"TEMPLE TERRACE","P",2011,"F"
"TEMPLE TERRACE","P",2012,"F"
"TEMPLE TERRACE","P",2013,"D"
"TEMPLE TERRACE","P",2015,"D"
"TEMPLE TERRACE","P",2016,"D"
"TEQUESTA","F",2009,"A"
"TEQUESTA","F",2011,"B"
"TEQUESTA","F",2012,"C"
"TEQUESTA","F",2013,"A"
"TEQUESTA","F",2014,"A"
"TEQUESTA","F",2015,"C"
"TEQUESTA","F",2016,"A"
"TEQUESTA","P",2009,"A"
"TEQUESTA","P",2011,"A"
"TEQUESTA","P",2012,"A"
"TEQUESTA","P",2013,"A"
"TEQUESTA","P",2014,"A"
"TEQUESTA","P",2015,"A"
"TEQUESTA","P",2016,"A"
"TITUSVILLE","G",2005,"A"
"TITUSVILLE","G",2006,"A"
"TITUSVILLE","G",2007,"A"
"TITUSVILLE","G",2008,"C"
"TITUSVILLE","G",2009,"C"
"TITUSVILLE","G",2010,"D"
"TITUSVILLE","G",2011,"F"
"TITUSVILLE","G",2012,"D"
"TITUSVILLE","G",2013,"D"
"TITUSVILLE","G",2014,"B"
"TITUSVILLE","G",2015,"B"
"TITUSVILLE","G",2016,"B"
"TITUSVILLE","PF",2005,"C"
"TITUSVILLE","PF",2006,"C"
"TITUSVILLE","PF",2008,"D"
"TITUSVILLE","PF",2010,"F"
"TITUSVILLE","PF",2011,"F"
"TITUSVILLE","PF",2012,"D"
"TITUSVILLE","PF",2014,"B"
"TITUSVILLE","PF",2015,"B"
"TITUSVILLE","PF",2016,"B"
"VENICE","F",2005,"F"
"VENICE","F",2006,"F"
"VENICE","F",2007,"F"
"VENICE","F",2008,"F"
"VENICE","F",2009,"F"
"VENICE","F",2010,"F"
"VENICE","F",2011,"F"
"VENICE","F",2012,"D"
"VENICE","F",2013,"D"
"VENICE","F",2014,"D"
"VENICE","F",2015,"D"
"VENICE","F",2016,"D"
"VENICE","G",2005,"A"
"VENICE","G",2006,"A"
"VENICE","P",2005,"B"
"VENICE","P",2006,"C"
"VENICE","P",2007,"B"
"VENICE","P",2008,"C"
"VENICE","P",2009,"D"
"VENICE","P",2010,"D"
"VENICE","P",2011,"D"
"VENICE","P",2012,"D"
"VENICE","P",2013,"D"
"VENICE","P",2014,"C"
"VENICE","P",2015,"C"
"VENICE","P",2016,"C"
"VERO BEACH","F",2008,"B"
"VERO BEACH","F",2009,"B"
"VERO BEACH","F",2010,"B"
"VERO BEACH","F",2011,"D"
"VERO BEACH","F",2012,"C"
"VERO BEACH","F",2013,"C"
"VERO BEACH","F",2014,"C"
"VERO BEACH","F",2015,"C"
"VERO BEACH","F",2016,"C"
"VERO BEACH","G",2006,"C"
"VERO BEACH","G",2009,"C"
"VERO BEACH","G",2010,"D"
"VERO BEACH","G",2011,"D"
"VERO BEACH","G",2012,"C"
"VERO BEACH","G",2013,"D"
"VERO BEACH","G",2014,"D"
"VERO BEACH","G",2015,"C"
"VERO BEACH","G",2016,"D"
"VERO BEACH","P",2005,"A"
"VERO BEACH","P",2007,"A"
"VERO BEACH","P",2008,"A"
"VERO BEACH","P",2009,"B"
"VERO BEACH","P",2010,"C"
"VERO BEACH","P",2011,"D"
"VERO BEACH","P",2012,"B"
"VERO BEACH","P",2014,"B"
"VERO BEACH","P",2015,"B"
"VILLAGE OF NORTH PALM BEACH","PF",2016,"B"
"VILLAGE OF PALM SPRINGS","G",2008,"C"
"VILLAGE OF PALM SPRINGS","G",2009,"C"
"VILLAGE OF PALM SPRINGS","G",2010,"C"
"VILLAGE OF PALM SPRINGS","G",2011,"C"
"VILLAGE OF PALM SPRINGS","G",2014,"B"
"VILLAGE OF PALM SPRINGS","G",2016,"B"
"VILLAGE OF PALM SPRINGS","PF",2007,"C"
"VILLAGE OF PALM SPRINGS","PF",2009,"D"
"VILLAGE OF PALM SPRINGS","PF",2010,"D"
"VILLAGE OF PALM SPRINGS","PF",2011,"D"
"VILLAGE OF PALM SPRINGS","PF",2013,"C"
"VILLAGE OF PALM SPRINGS","PF",2015,"C"
"WEST PALM BEACH","F",2005,"D"
"WEST PALM BEACH","F",2008,"D"
"WEST PALM BEACH","F",2009,"D"
"WEST PALM BEACH","F",2010,"D"
"WEST PALM BEACH","F",2011,"C"
"WEST PALM BEACH","F",2012,"D"
"WEST PALM BEACH","F",2013,"D"
"WEST PALM BEACH","F",2014,"D"
"WEST PALM BEACH","F",2015,"D"
"WEST PALM BEACH","F",2016,"D"
"WEST PALM BEACH","P",2005,"B"
"WEST PALM BEACH","P",2007,"A"
"WEST PALM BEACH","P",2008,"A"
"WEST PALM BEACH","P",2011,"D"
"WEST PALM BEACH","P",2012,"D"
"WEST PALM BEACH","P",2013,"C"
"WEST PALM BEACH","P",2014,"C"
"WEST PALM BEACH","P",2015,"C"
"WILLISTON","G",2008,"A"
"WILTON MANORS","F",2007,"D"
"WILTON MANORS","F",2008,"D"
"WILTON MANORS","F",2010,"F"
"WILTON MANORS","F",2011,"F"
"WILTON MANORS","F",2012,"D"
"WILTON MANORS","F",2013,"D"
"WILTON MANORS","F",2016,"A"
"WILTON MANORS","G",2008,"C"
"WILTON MANORS","G",2009,"D"
"WILTON MANORS","G",2010,"C"
"WILTON MANORS","G",2011,"C"
"WILTON MANORS","G",2012,"C"
"WILTON MANORS","G",2013,"B"
"WILTON MANORS","G",2014,"C"
"WILTON MANORS","G",2015,"C"
"WILTON MANORS","G",2016,"C"
"WILTON MANORS","P",2008,"D"
"WILTON MANORS","P",2009,"D"
"WILTON MANORS","P",2010,"D"
"WILTON MANORS","P",2011,"D"
"WILTON MANORS","P",2012,"C"
"WILTON MANORS","P",2013,"C"
"WILTON MANORS","P",2014,"C"
"WILTON MANORS","P",2015,"D"
"WILTON MANORS","P",2016,"C"
"WINTER GARDEN","G",2010,"A"
"WINTER GARDEN","G",2011,"A"
"WINTER GARDEN","G",2012,"A"
"WINTER GARDEN","G",2013,"A"
"WINTER GARDEN","G",2014,"A"
"WINTER GARDEN","G",2015,"A"
"WINTER GARDEN","G",2016,"A"
"WINTER GARDEN","PF",2010,"A"
"WINTER GARDEN","PF",2011,"A"
"WINTER GARDEN","PF",2012,"A"
"WINTER GARDEN","PF",2013,"A"
"WINTER GARDEN","PF",2014,"A"
"WINTER GARDEN","PF",2015,"A"
"WINTER GARDEN","PF",2016,"A"
"WINTER HAVEN","F",2005,"C"
"WINTER HAVEN","F",2006,"D"
"WINTER HAVEN","F",2008,"D"
"WINTER HAVEN","F",2009,"F"
"WINTER HAVEN","F",2010,"F"
"WINTER HAVEN","F",2011,"F"
"WINTER HAVEN","F",2012,"D"
"WINTER HAVEN","F",2013,"D"
"WINTER HAVEN","F",2014,"C"
"WINTER HAVEN","F",2015,"C"
"WINTER HAVEN","F",2016,"C"
"WINTER HAVEN","G",2005,"C"
"WINTER HAVEN","G",2006,"C"
"WINTER HAVEN","G",2008,"C"
"WINTER HAVEN","G",2009,"C"
"WINTER HAVEN","G",2010,"F"
"WINTER HAVEN","G",2011,"F"
"WINTER HAVEN","G",2012,"F"
"WINTER HAVEN","G",2013,"D"
"WINTER HAVEN","G",2014,"D"
"WINTER HAVEN","G",2015,"C"
"WINTER HAVEN","G",2016,"C"
"WINTER HAVEN","P",2005,"C"
"WINTER HAVEN","P",2006,"B"
"WINTER HAVEN","P",2007,"B"
"WINTER HAVEN","P",2008,"C"
"WINTER HAVEN","P",2009,"C"
"WINTER HAVEN","P",2010,"C"
"WINTER HAVEN","P",2011,"C"
"WINTER HAVEN","P",2012,"C"
"WINTER HAVEN","P",2013,"B"
"WINTER HAVEN","P",2014,"A"
"WINTER HAVEN","P",2015,"A"
"WINTER HAVEN","P",2016,"B"
"WINTER PARK","F",2007,"B"
"WINTER PARK","F",2009,"B"
"WINTER PARK","F",2010,"C"
"WINTER PARK","F",2011,"D"
"WINTER PARK","F",2012,"B"
"WINTER PARK","F",2013,"C"
"WINTER PARK","F",2014,"B"
"WINTER PARK","F",2015,"B"
"WINTER PARK","P",2006,"B"
"WINTER PARK","P",2009,"C"
"WINTER PARK","P",2010,"D"
"WINTER PARK","P",2011,"D"
"WINTER PARK","P",2012,"D"
"WINTER PARK","P",2013,"D"
"WINTER PARK","P",2014,"B"
"WINTER PARK","P",2015,"C"
"WINTER SPRINGS","GPF",2008,"D"
"WINTER SPRINGS","GPF",2010,"D"
"WINTER SPRINGS","GPF",2012,"D"
"WINTER SPRINGS","GPF",2013,"D"
"WINTER SPRINGS","GPF",2014,"D"
"WINTER SPRINGS","GPF",2015,"C"
